"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
7868;5060;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7869;5063;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7870;5064;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7871;5065;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7872;5066;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7873;5067;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7874;5068;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7875;5070;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7876;5071;3;2011-01-18 00:00:00;2011-01-18 00:00:00
7877;5072;3;2011-08-30 00:00:00;
7878;5073;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7879;5074;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7880;5075;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7881;5076;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7882;5449;3;2012-06-25 00:00:00;
7883;5608;3;2012-10-19 00:00:00;2012-10-19 00:00:00
7884;5078;3;2011-04-20 00:00:00;
7885;5079;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7886;5082;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7887;5136;3;2011-06-08 00:00:00;2011-06-08 00:00:00
7888;5838;3;2013-07-02 00:00:00;2013-07-02 00:00:00
7889;5458;3;2012-06-29 00:00:00;2012-06-29 00:00:00
7890;5090;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7891;5812;3;2013-06-03 00:00:00;2013-06-03 00:00:00
7892;5092;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7893;5094;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7894;5097;3;2012-10-30 00:00:00;2012-10-30 00:00:00
7895;5100;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7896;5624;3;2012-11-05 00:00:00;2012-11-05 00:00:00
7897;5685;3;2013-01-02 00:00:00;2013-01-02 00:00:00
7898;1887;3;2011-08-05 00:00:00;2011-08-05 00:00:00
7899;5102;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7900;5106;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7901;5109;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7902;5114;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7903;6007;3;2014-02-14 00:00:00;2014-02-14 00:00:00
7904;5589;3;2012-09-28 00:00:00;
7905;5589;2;2012-09-28 00:00:00;2012-09-28 00:00:00
7906;5446;3;2012-06-15 00:00:00;2012-06-15 00:00:00
7907;5116;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7908;6113;3;2014-07-14 00:00:00;
7909;6113;2;2014-07-14 00:00:00;
7910;5117;3;2011-08-30 00:00:00;
7911;5118;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7912;5119;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7913;5438;3;2012-06-05 00:00:00;2012-06-05 00:00:00
7914;5120;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7915;5121;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7916;5122;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7917;5124;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7918;5301;3;2011-12-19 00:00:00;2011-12-19 00:00:00
7919;6437;2;2015-05-22 00:00:00;2015-05-22 00:00:00
7920;5412;3;2012-05-10 00:00:00;2012-05-10 00:00:00
7921;5130;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7922;5132;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7923;5133;3;2011-08-30 00:00:00;2011-08-30 00:00:00
7924;5945;1;2013-11-12 00:00:00;
7925;3637;1;2011-08-30 00:00:00;
7926;3677;1;2011-08-30 00:00:00;2011-08-30 00:00:00
7927;5520;4;2014-10-15 00:00:00;2014-10-15 00:00:00
7928;6516;1;2015-07-01 00:00:00;
7929;6517;1;2015-07-01 00:00:00;
7930;6117;2;2014-07-18 00:00:00;2014-07-18 00:00:00
7931;3635;1;2011-08-30 00:00:00;2011-08-30 00:00:00
