"cliente";"vendedor";"fecha_ca";"vigencia_ve"
1769;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1770;0;2011-08-01 00:00:00;
1771;0;2011-08-01 00:00:00;
1772;0;2011-08-01 00:00:00;
1773;0;2011-08-01 00:00:00;
1774;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1775;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1776;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1777;0;2011-08-01 00:00:00;
1778;0;2011-08-01 00:00:00;
1779;0;2011-08-01 00:00:00;
1780;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1781;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1782;0;2011-08-01 00:00:00;
1783;0;2011-08-01 00:00:00;
1784;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1785;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1786;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1787;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1789;0;2011-08-01 00:00:00;
1790;0;2011-08-01 00:00:00;
1791;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1792;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1793;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1794;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1795;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1796;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1797;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1798;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1799;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1800;0;2011-08-01 00:00:00;
1801;0;2011-08-01 00:00:00;
1802;0;2011-08-01 00:00:00;
1803;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1804;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1805;0;2011-08-01 00:00:00;
1806;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1807;0;2011-08-01 00:00:00;
1808;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1809;0;2011-08-01 00:00:00;
1810;0;2011-08-01 00:00:00;
1811;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1812;0;2011-08-01 00:00:00;
1813;0;2011-08-01 00:00:00;
1814;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1815;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1816;0;2011-08-01 00:00:00;
1817;0;2011-08-01 00:00:00;
1818;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1819;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1820;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1821;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1822;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1823;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1824;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1825;0;2011-08-01 00:00:00;
1826;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1827;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1828;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1829;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1830;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1831;0;2011-08-01 00:00:00;
1832;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1833;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1834;0;2011-08-01 00:00:00;
1835;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1836;0;2011-08-01 00:00:00;
1837;0;2011-08-01 00:00:00;
1838;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1839;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1840;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1841;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1842;0;2011-08-01 00:00:00;
1843;0;2011-08-01 00:00:00;
1844;0;2011-08-01 00:00:00;
1845;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1846;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1847;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1848;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1849;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1850;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1851;0;2011-08-01 00:00:00;
1852;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1853;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1854;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1855;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1856;0;2011-08-01 00:00:00;
1857;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1858;0;2011-08-01 00:00:00;
1859;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1860;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1861;0;2011-08-01 00:00:00;
1862;0;2011-08-01 00:00:00;
1863;0;2011-08-01 00:00:00;
1864;0;2011-08-01 00:00:00;
1865;0;2011-08-01 00:00:00;
1866;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1867;0;2011-08-01 00:00:00;
1868;0;2011-08-01 00:00:00;
1869;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1870;0;2011-08-01 00:00:00;
1871;0;2011-08-01 00:00:00;
1872;0;2011-08-01 00:00:00;
1873;0;2011-08-01 00:00:00;
1874;0;2011-08-01 00:00:00;
1875;0;2011-08-01 00:00:00;
1876;0;2011-08-01 00:00:00;
1877;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1878;0;2011-08-01 00:00:00;
1879;0;2011-08-01 00:00:00;
1880;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1881;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1882;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1883;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1884;0;2011-08-01 00:00:00;
1885;0;2011-08-01 00:00:00;
1886;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1887;0;2011-08-01 00:00:00;
1888;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1889;0;2011-08-01 00:00:00;
1890;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1891;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1893;0;2011-08-01 00:00:00;
1894;0;2011-08-01 00:00:00;
1895;0;2011-08-01 00:00:00;
1896;0;2011-08-01 00:00:00;
1897;0;2011-08-01 00:00:00;
1898;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1900;0;2011-08-01 00:00:00;
1901;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1902;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1903;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1904;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1905;0;2011-08-01 00:00:00;
1906;0;2011-08-01 00:00:00;
1907;0;2011-08-01 00:00:00;
1908;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1909;0;2011-08-01 00:00:00;
1910;0;2011-08-01 00:00:00;
1911;0;2011-08-01 00:00:00;
1912;0;2011-08-01 00:00:00;
1913;0;2011-08-01 00:00:00;
1914;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1915;0;2011-08-01 00:00:00;
1916;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1917;0;2011-08-01 00:00:00;
1918;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1919;0;2011-08-01 00:00:00;
1920;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1921;0;2011-08-01 00:00:00;
1922;0;2011-08-01 00:00:00;
1923;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1924;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1925;0;2011-08-01 00:00:00;
1926;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1927;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1928;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1929;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1930;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1931;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1932;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1933;0;2011-08-01 00:00:00;
1934;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1935;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1936;0;2011-08-01 00:00:00;
1937;0;2011-08-01 00:00:00;
1938;0;2011-08-01 00:00:00;
1939;0;2011-08-01 00:00:00;
1940;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1941;0;2011-08-01 00:00:00;
1942;0;2011-08-01 00:00:00;
1943;0;2011-08-01 00:00:00;
1944;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1945;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1946;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1947;0;2011-08-01 00:00:00;
1948;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1949;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1950;0;2011-08-01 00:00:00;
1951;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1952;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1953;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1954;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1955;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1956;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1957;0;2011-08-01 00:00:00;
1958;0;2011-08-01 00:00:00;
1959;0;2011-08-01 00:00:00;
1960;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1961;0;2011-08-01 00:00:00;
1962;0;2011-08-01 00:00:00;
1963;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1964;0;2011-08-01 00:00:00;
1965;0;2011-08-01 00:00:00;
1966;0;2011-08-01 00:00:00;
1967;0;2011-08-01 00:00:00;
1968;0;2011-08-01 00:00:00;
1969;0;2011-08-01 00:00:00;
1970;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1971;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1972;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1973;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1974;0;2011-08-01 00:00:00;
1975;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1976;0;2011-08-01 00:00:00;
1977;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1978;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1979;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1980;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1981;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1982;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1983;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1984;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1985;0;2011-08-01 00:00:00;
1986;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1987;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1988;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1989;0;2011-08-01 00:00:00;
1990;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1991;0;2011-08-01 00:00:00;
1993;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1994;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1995;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1996;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1997;0;2011-08-01 00:00:00;
1998;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1999;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2000;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2001;0;2011-08-01 00:00:00;
2002;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2003;0;2011-08-01 00:00:00;
2004;0;2011-08-01 00:00:00;2011-08-01 00:00:00
