"cli_pro_id";"producto";"clien";"prod_name";"consumo_pro";"u_ventas";"epoca";"ser_reque";"prov_act"
375;2;5525;;;;;;
376;2;5526;;;;;;
377;1;5529;;;;;;
378;2;5531;;;;;;
379;1;5531;;;;;;
380;1;5536;;;;;;
381;2;5536;;;;;;
382;1;5537;;;;;;
383;1;5538;;;;;;
384;2;5539;;;;;;
385;2;5540;;;;;;
386;5;5542;;;;;;
387;1;5558;;;;;;
388;3;5544;;;;;;
389;2;5659;;;;;;
390;2;5569;;;;;;
391;1;5570;;;;;;
392;2;5571;;;;;;
393;2;5572;;;;;;
394;1;5573;;;;;;
395;1;5574;;;;;;
396;2;5578;;;;;;
397;2;5579;;;;;;
398;2;5661;;;;;;
399;2;5581;;;;;;
400;2;5582;;;;;;
401;5;5583;;;;;;
402;2;5584;;;;;;
403;2;5586;;;;;;
404;2;5662;;;;;;
405;1;5586;;;;;;
406;2;5587;;;;;;
407;1;5662;;;;;;
408;2;5588;;;;;;
409;2;5591;;;;;;
410;1;5592;;;;;;
411;1;5663;;;;;;
412;1;5599;;;;;;
413;1;5600;;;;;;
414;2;5601;;;;;;
415;2;5492;;;;;;
416;1;5602;;;;;;
417;2;5663;;;;;;
418;2;5604;;;;;;
419;5;5606;;;;;;
420;2;5607;;;;;;
421;1;5608;;;;;;
422;1;5610;;;;;;
423;5;5612;;;;;;
424;1;5664;;;;;;
425;1;5585;;;;;;
426;2;5617;;;;;;
427;2;5665;;;;;;
428;2;5097;;;;;;
429;1;5621;;;;;;
430;2;5622;;;;;;
431;2;5623;;;;;;
432;1;5625;;;;;;
433;1;5666;;;;;;
434;1;5667;;;;;;
435;2;5675;;;;;;
436;2;5679;;;;;;
437;1;5680;;;;;;
438;2;5681;;;;;;
439;1;5686;;;;;;
440;1;5685;;;;;;
441;5;5687;;;;;;
442;1;5688;;;;;;
443;2;5689;;;;;;
444;4;5692;;;;;;
445;2;5696;;;;;;
446;2;5697;;;;;;
447;2;5698;;;;;;
448;2;5699;;;;;;
449;2;5700;;;;;;
450;2;5705;;;;;;
451;2;5706;;;;;;
452;1;5706;;;;;;
453;2;4151;;;;;;
454;1;3676;;;;;;
455;3;5710;;;;;;
456;4;5710;;;;;;
457;5;5711;;;;;;
458;5;5712;;;;;;
459;5;5723;;;;;;
460;2;5725;;;;;;
461;2;5726;;;;;;
462;2;5727;;;;;;
463;2;5735;;;;;;
464;1;5751;;;;;;
465;2;4424;;;;;;
466;2;5756;;;;;;
467;2;5759;;;;;;
468;2;5761;;;;;;
469;1;5763;;;;;;
470;1;5770;;;;;;
471;5;5771;;;;;;
472;2;5774;;;;;;
473;2;5775;;;;;;
474;1;5777;;;;;;
475;1;5780;;;;;;
476;1;5783;;;;;;
477;2;5783;;;;;;
478;4;5783;;;;;;
479;1;5784;;;;;;
480;2;5786;;;;;;
481;1;5788;;;;;;
482;2;4011;;;;;;
483;2;5789;;;;;;
484;2;5792;;;;;;
485;2;5793;;;;;;
486;2;5794;;;;;;
487;2;5796;;;;;;
488;1;5796;;;;;;
489;1;5797;;;;;;
490;2;5799;;;;;;
491;2;5800;;;;;;
492;1;4653;;;;;;
493;1;5803;;;;;;
494;2;5804;;;;;;
495;2;5802;;;;;;
496;1;5805;;;;;;
497;2;5807;;;;;;
498;1;5811;;;;;;
499;2;5811;;;;;;
500;4;5812;;;;;;
501;2;5813;;;;;;
502;1;5813;;;;;;
503;5;5813;;;;;;
504;1;5814;;;;;;
505;1;5816;;;;;;
506;2;5816;;;;;;
507;2;5818;;;;;;
508;2;5819;;;;;;
509;4;5821;;;;;;
510;1;5822;;;;;;
511;2;5822;;;;;;
512;2;1583;;;;;;
513;1;1583;;;;;;
514;2;5823;;;;;;
515;1;5823;;;;;;
516;1;5824;;;;;;
517;4;5827;;;;;;
518;2;5828;;;;;;
519;5;5830;;;;;;
520;2;5831;;;;;;
521;2;5832;;;;;;
522;2;5833;;;;;;
523;5;5838;;;;;;
524;2;5841;;;;;;
525;2;5840;;;;;;
526;2;5843;;;;;;
527;2;5844;;;;;;
528;2;5850;;;;;;
529;2;5854;;;;;;
530;2;5857;;;;;;
531;2;5858;;;;;;
532;1;5864;;;;;;
533;2;5865;;;;;;
534;2;5870;;;;;;
535;1;5871;;;;;;
536;1;5875;;;;;;
537;3;5705;;;;;;
538;1;5888;;;;;;
539;2;5888;;;;;;
540;1;5879;;;;;;
541;1;5891;;;;;;
542;2;5891;;;;;;
543;2;5892;;;;;;
544;2;5893;;;;;;
545;2;5894;;;;;;
546;2;5895;;;;;;
547;2;5896;;;;;;
548;2;5897;;;;;;
549;2;5898;;;;;;
550;1;5899;;;;;;
551;2;5903;;;;;;
552;2;5905;;;;;;
553;2;5907;;;;;;
554;1;5677;;;;;;
555;5;5909;;;;;;
556;3;5911;;;;;;
557;4;5911;;;;;;
558;2;5911;;;;;;
559;2;5912;;;;;;
560;2;5913;;;;;;
561;2;5915;;;;;;
562;2;5916;;;;;;
563;2;5917;;;;;;
564;2;5920;;;;;;
565;2;5921;;;;;;
566;2;5922;;;;;;
567;2;5791;;;;;;
568;1;5923;;;;;;
569;2;5924;;;;;;
570;4;5925;;;;;;
571;4;5926;;;;;;
572;2;5927;;;;;;
573;4;5928;;;;;;
574;1;5929;;;;;;
575;4;5929;;;;;;
576;2;5929;;;;;;
577;4;5930;;;;;;
578;4;5931;;;;;;
579;4;5932;;;;;;
580;4;5933;;;;;;
581;1;5934;;;;;;
582;2;5934;;;;;;
583;3;5935;;;;;;
584;2;5936;;;;;;
585;2;5937;;;;;;
586;2;5939;;;;;;
587;2;5940;;;;;;
588;4;5942;;;;;;
589;2;5943;;;;;;
590;1;5945;;;;;;
591;2;5945;;;;;;
592;2;5947;;;;;;
593;2;5948;;;;;;
594;1;5949;;;;;;
595;2;5950;;;;;;
596;2;5951;;;;;;
597;5;5954;;;;;;
598;1;3779;;;;;;
599;2;3779;;;;;;
600;3;6003;;;;;;
601;2;6004;;;;;;
602;1;6008;;;;;;
603;2;6009;;;;;;
604;2;6010;;;;;;
605;2;5988;;;;;;
606;2;6011;;;;;;
607;2;6012;;;;;;
608;2;6031;;;;;;
609;1;6033;;;;;;
610;2;6032;;;;;;
611;1;6034;;;;;;
612;1;0;2;20;0;1;0;1
613;1;0;2;20;0;1;0;1
614;1;0;2;20;0;1;0;1
615;1;0;2;20;0;1;0;1
616;1;0;2;20;0;1;0;1
617;1;0;2;20;0;1;0;1
618;1;0;2;20;0;1;0;1
619;1;0;2;20;0;1;0;1
620;1;0;2;20;0;1;1;1
621;1;0;2;20000;0;1;1;1
622;1;0;2;20;0;1;1;1
623;1;0;3;3000;0;1;1;1
624;2;0;4;200;0;1;1;1
625;2;0;1;20;0;1;1;1
626;2;0;5;20;0;1;1;1
627;5;0;6;40;0;1;1;2
628;1;0;2;20000;0;1;1;1
629;1;0;1;0;0;1;1;1
630;1;0;2;50000;0;1;1;3
631;1;0;2;30000;0;1;1;3
632;2;0;4;410;0;1;1;3
633;2;0;5;205;0;1;1;3
634;5;0;7;80;0;1;1;3
635;1;0;4;400;0;1;1;1
636;2;0;8;200;0;1;1;1
637;1;0;2;900000;0;1;1;1
638;2;0;4;10000;0;1;1;4
639;2;0;5;2000;0;1;1;1
640;5;0;7;1800;0;1;1;1
641;2;0;6;50000;0;2;1;2
642;4;0;9;1000;0;2;1;5
643;3;0;10;2000;0;2;1;2
644;1;0;2;8000;0;3;1;3
645;2;0;4;100;0;3;1;3
646;2;0;5;100;0;3;1;4
647;2;0;6;3000;0;1;1;6
648;3;0;10;1000;0;4;1;7
649;1;0;2;40000;0;1;1;3
650;1;0;2;20000;0;3;1;3
651;2;0;4;300;0;3;1;3
652;1;0;2;20000;0;4;1;3
653;1;0;2;100000;0;1;1;3
654;2;0;4;2000;0;1;1;3
655;1;0;2;14000;0;3;1;8
656;2;0;12;60;0;1;1;9
657;2;0;13;50;0;3;1;9
658;1;0;2;30000;0;1;1;3
659;2;0;12;615;0;1;1;1
660;3;0;14;30000;0;1;1;6
661;1;0;2;50000;0;1;1;10
662;2;0;12;600;0;1;1;3
663;5;0;11;200;0;1;1;3
664;1;0;2;5000;0;1;1;10
665;2;0;12;200;0;1;1;11
666;1;0;2;10000;0;3;1;3
667;2;0;4;200;0;3;1;3
668;2;0;5;200;0;3;1;3
669;5;0;11;20;0;3;1;3
670;4;0;9;200;0;3;1;12
671;1;0;2;40000;0;1;1;3
672;2;0;1;120;0;1;1;3
673;2;0;15;120;0;1;1;3
674;2;0;16;60;0;1;1;3
675;2;0;17;1435;0;1;1;3
676;2;0;5;1025;0;1;1;3
677;5;0;11;126;0;1;1;3
678;1;0;2;10000;0;1;1;1
679;1;0;2;10000;0;3;1;13
680;1;0;2;30000;0;1;1;3
681;2;0;4;200;0;1;1;6
682;2;0;5;200;0;1;1;3
683;5;0;11;200;0;1;1;3
684;4;0;9;150;0;1;1;3
685;1;0;2;200000;0;1;1;1
686;1;0;2;20000;0;1;1;1
687;1;0;2;10000;0;1;1;1
688;2;0;4;400;0;1;1;1
689;2;0;5;400;0;1;1;1
690;1;0;2;10000;0;1;1;3
691;2;0;4;205;0;1;1;3
692;2;0;5;205;0;1;1;3
693;5;0;11;205;0;1;1;3
694;1;0;2;20000;0;1;1;1
695;1;0;2;100000;0;1;1;10
696;2;0;5;2050;0;1;1;3
697;1;0;2;20000;0;1;1;15
698;2;0;5;410;0;1;1;3
699;1;0;2;60000;0;1;1;16
700;2;0;4;500;0;1;1;16
701;1;0;2;80000;0;1;1;17
702;2;0;4;400;0;1;1;17
703;2;0;5;400;0;1;1;17
704;5;0;11;80;0;1;1;17
705;1;0;2;5000;0;1;1;3
706;2;0;4;100;0;1;1;3
707;2;0;5;100;0;1;1;3
708;1;0;2;50000;0;1;1;3
709;1;0;2;20000;0;3;1;1
710;2;0;4;500;0;3;1;1
711;2;0;5;500;0;3;1;1
712;2;0;14;500;0;3;1;1
713;1;0;2;30000;0;1;1;3
714;2;0;4;500;0;1;1;3
715;2;0;5;500;0;1;1;3
716;5;0;11;100;0;1;1;3
717;4;0;9;450;0;1;1;3
718;1;0;2;30000;0;1;1;3
719;2;0;4;500;0;1;1;3
720;2;0;5;500;0;1;1;3
721;5;0;11;100;0;1;1;3
722;1;0;2;50000;0;1;1;1
723;1;0;2;8000;0;3;1;3
724;2;0;18;200;0;1;1;18
725;2;0;19;48;0;3;1;3
726;1;0;2;5000;0;1;1;19
