"reclamo_id";"cliente";"t_recla";"fecha_recla";"reclamo";"accion";"resp_clie";"estado";"fecha_solucion"
26;3655;2;2011-02-21 00:00:00;"Cliente reclama que detecto agua en el combustible usado en las fumigadoras ytractores, motivo por el cual las maquinarias no funcionan.";"Se coordina una visita con movil técnico a la finca para tomar muestras de combustibles para su análisis en YPF. Además capacitan a encargado de finca en mantenimiento y purgado de los tanques y en el proceso de recepción de combustible en el campo.";;;
27;5115;2;2011-01-06 00:00:00;"rotura de envases en 4 lts y 1 lts";"se envia email de las fortos correspondiente al comercial de YPF";;;
28;5115;3;2011-05-20 00:00:00;"faltan productos de marketing (banderas, jorras,lapiceras)";"pedimos a nuestro cmercial";;;
29;4292;2;2012-04-19 00:00:00;"reclama falta de productos elaion motos, demoras en la entrega del mismo";"Se llama al comercial de YPF para preguntar sobre la demora";;;
30;5405;2;2012-06-08 00:00:00;"falta de aceite semi-sintetico (f30) y sintetico (f50)";"se consulta al comercial que está pasando";;;
31;3870;2;2012-07-18 00:00:00;"falta de aceite elaion f30 (caja x 4 lts)";"se consulta a representante comercil de YPF";;;
32;5019;2;2012-07-16 00:00:00;"Faltante de producto GRasa LImit M02 x 180 Kg. El receptor del reclamo  fué Emiliano FErnandez.";"Se llamó al Comercial de Ypf y a Mesa de Pedidos.";;;
33;5403;2;2012-07-20 00:00:00;"Falta de productos publicitarios (banderas, banderines, lapiceras, gorros, etc.)";"Los vendedores Miguel Valeros y VIcente Dangelo, les pidieron al Comercial Sr. Rodolfo DEheza de estos elementos.";;;
34;4800;2;2011-04-16 00:00:00;"DEfectos de envasado de Tambores de Transformador 64";"El receptor del reclamo fue Sergio Andjel. y él le comunicó al comercial.";;;
35;5115;2;2013-01-11 00:00:00;"Yellow Cab ( José del Rio) reclama que se le entregó 1 caja de Elaion Torque, la cual estaba manchada con aceite.";"Inmediantamente se avisó a la oficina para solicitar el cambio de  la caja. El Ing. Sergio Andjel, informa que están llegando cajas manchadas con aceite desde Bs. As.";;;
36;4868;2;2013-03-13 00:00:00;"Al romper el precinto  del Tambor de aceite normal, se dan cuenta que no tenía la tapa de acero roscada.  Cuando empiezan a utilizar el aceite, se encuentra con que está con agua.";"Se le cambió el tambor al cliente.";;;
37;4866;2;2013-09-24 00:00:00;"Reclamo del cliente que los precios que tenemos el Distribuidor Mayorista suben y con mucha diferencia con respecto al surtidor con la misma marca. 
Receptor del reclamo Fernando Bauque.";"Se hizo reclamo a YPF correspondiente, por medio de Rodolfo Deheza (25/09/2013)";;;
38;5786;2;2013-09-16 00:00:00;"Bidones pinchados de Elaion F10 x 4 lts.";"REclamos reiterados al comercial de YPF SR. Rodolfo Deheza.";;;
39;4018;2;2013-10-05 00:00:00;"El cliente dice que el aceite de motor XV300 15W40 está teniendo un consumo mucho mayor a lo normal en algunos camiones que él atiende en su taller, de marca Fiat-Renault.";"Fueron a visitarlo Emiliano FErnandez con el Ténico de YPF SR. Diego Sartori el 8/10/2013, donde nos comprometimos a hacer un seguimiento y análisis del aceite en esos camiones.";;;
41;5420;2;2013-10-29 00:00:00;"En la prsente nota hacemos llegar nuestro reclamo y aclarar que el motivo de la cancelación de la compra de combustible, es por la falta de entrega o la entrega muy espaciada del mismo, lo que nos genera inconvenientes, dada la gran cantidad de equipos que posee la Empresa.";"Se informa que el motivo de los retrasos en la entrega del combustible, se debió a un problema de crédito del cliente. La acción fué comunicarnos con el Ing. Raul Katz (Titular de la firma), para consensuar un cumplimiento en sus pagos a modo de evitar se reitere el problema de crédito planteado.";;;
42;5496;2;2014-07-15 00:00:00;"El cliente solicita cambio de producto  Tambor de XV·300 por estar pinchado.";"";;;
43;5496;2;2014-07-17 00:00:00;"";"Día 16/07/2014 a hs. 10,  fué Pablo GOnzalez a ver la condición del tambor, para poder tomar una decisión .";;;
44;5496;2;2014-07-17 00:00:00;"";"";;;
45;5099;2;2014-08-01 00:00:00;"Siendo las 9 horas del día 1/08/2014,llamó telefonicamente el SR. Martin VIllalón,reclamando la entrega de 2 (dos) Tambores de NOrmal 50.";"";;;
46;5099;2;2014-08-01 00:00:00;"";"En el día de la fecha, se lleva la mercaderia al cliente, previo aviso telefonico.";;;
47;5099;2;2014-08-01 00:00:00;"";"";;;
48;5986;2;2014-08-04 00:00:00;"Surgió problemas con un Silo Bolsa, aparentemente falla de fabricación.";"";;;
49;5986;2;2014-08-08 00:00:00;"";"Sergio Andjel, le pidió al cliente que saque fotos para hacer el reclamo a Rodlfo DEheza.
Día 7/08/2014 se envió email al comercial con las fotos correspodiente.";;;
50;4882;2;2014-08-20 00:00:00;"El cliente devuelve un Tambor de Transformador 64, por que vino con tapa precinto, pero sin la tapa a rosca y este aceite no puede tener humedad para su uso. 
se adjunta foto del tambor en cuestión.";"";;;
51;4882;2;2014-08-21 00:00:00;"";"Se entrega al cliente el día 21/08/2014 un nuevo tambor, dejando en depósito de Lubre, el tambor en cuestión para hacer el reclamo pertinente a YPF.";;;
52;4882;1;2014-08-21 00:00:00;"";"";;;
53;5986;1;2014-09-18 00:00:00;"";"";;;
55;5697;3;2014-01-14 00:00:00;"SOLICITAN INFORMACION SOBRE TECNICAS Y PUBLICIDAD";"INVITACION A CHARLAS Y EVENTOS INFORMATIVOS EN TERMAS DE RIO HONDO SOBRE EL ACEITE ELAION MOTO TC 2.000";;;
56;4460;3;2014-07-23 00:00:00;"IMPLEMENTAR PROMOCIONES DE PRODUCTOS";"PROMOCION DE XV100, XV300 Y XV500";;;
