"vehi_id";"t_vehi";"m_vehi";"cant";"clie";"segmento";"t_activi"
343;1;5;3;6988;4;7
344;1;5;2;6985;4;7
345;1;5;1;7021;4;7
346;25;25;2;7022;2;7
347;1;9;2;7044;4;15
348;25;25;1;6422;3;20
349;1;5;20;7042;4;7
350;25;25;1;7037;3;20
351;1;5;1;7032;4;1
352;25;25;5;7027;4;1
353;1;5;3;7026;4;1
354;1;6;3;7024;4;7
356;2;8;1;7046;4;6
357;2;5;2;7046;4;6
358;1;5;3;7051;4;1
359;1;32;2;7057;4;7
360;1;5;2;7057;4;7
361;25;5;1;7062;4;1
362;1;5;1;7069;4;1
363;1;5;4;4635;4;7
364;25;22;5;7076;1;3
365;1;5;2;7082;4;1
366;1;5;3;7080;4;1
367;25;5;2;5792;2;7
368;1;5;4;7109;4;7
369;1;25;9;7111;4;1
370;1;5;3;7120;4;7
371;7;25;6;7118;4;7
372;1;6;1;7123;4;1
373;25;8;1;7128;4;1
374;1;25;3;7131;4;1
375;1;8;1;7132;4;1
376;1;5;1;7140;4;6
377;7;5;1;7142;4;8
378;1;5;7;7145;4;1
379;11;25;4;7159;3;4
380;1;26;2;7158;4;1
381;1;26;7;7162;4;7
383;6;25;2;7163;2;7
384;1;25;3;7165;3;4
385;25;25;2;5603;3;20
386;25;25;2;7167;2;7
387;11;25;3;7168;3;20
388;25;25;1;7170;1;3
389;1;25;5;7173;4;7
390;11;25;2;7174;2;7
391;1;9;10;6051;4;7
392;1;5;1;7177;4;7
393;1;5;1;7179;4;6
394;10;22;2;7179;4;6
395;11;26;1;7179;4;6
396;12;10;1;7179;4;6
397;1;5;2;7188;4;7
398;1;5;2;7192;4;6
399;1;5;2;7191;4;1
400;1;5;3;7196;4;7
401;1;32;3;7196;4;7
402;1;26;4;7196;4;1
403;1;5;2;7195;4;7
404;1;15;2;7212;4;7
405;11;25;1;7215;1;10
406;1;5;21;7219;4;8
407;1;5;3;7223;4;7
408;26;25;1;7224;2;7
409;1;25;2;7226;4;7
410;1;8;5;7228;4;7
411;1;5;1;7239;4;7
412;25;8;2;8252;3;23
